"Section","Goals","Subjects","Scopes","Constraints","Jurisdictions"
"4.2.1 b) ","review, validate","Managers","responsibilities, security roles and responsibilities","","in job descriptions, to"
"4.2.2","informed, receive","Personnel","Personnel of changes, appropriate information security training","","to information security policy and practices"
"4.2.2 a) ","include","Managers, personnel","an information security awareness component","","in orientation processes"
"4.2.2 b) ","addressing","Managers","topics","","including protection of information"
"4.2.2 b) ","addressing","Managers","topics","","including known information security threats"
"4.2.2 b) ","addressing","Managers","topics","","including legal responsibilities"
"4.2.2 b) ","addressing","Managers","topics","","including information security policies and directives"
"4.2.2 b) ","provide","Managers","education, awareness and and training, training","","including procedures, to the Ministry Information Security Officer"
"4.2.2 b) ","addressing","Managers","topics","","including appropriate use of government resources"
"4.2.2 b) ","addressing","Managers","topics","","including technology training"
"4.2.2 b) ","addressing","Managers","topics","","including information, on disciplinary processes"
"4.2.2 b) ","addressing","Managers","topics","",""
"4.2.2 b) ","ensure","Managers","the information security awareness","","of responsibilities, in relation, of Conduct"
"4.2.2 b) ","informs","Managers, 12.3.1","personnel of responsibilities","","in relation, to the Core Policy and Procedures Manual, of Government Resources"
"4.2.2 b) ","informs","Incident Management Process, Managers","personnel of responsibilities","","in relation, to information"
"4.2.2 b) ","ensure","Managers, awareness training","the information security","","of responsibilities, in relation, to information Security policies"
"4.2.2 b) ","ensure","Managers, awareness training","the information security","","of responsibilities, in relation, to other applicable policies and procedures"
"4.2.2 b) ","available","Resources","","from ministry Information Security Officers","on information security awareness and and training, education"
"4.2.2 b) ","available","Resources","","from the Chief Information Security Officer","on information security awareness and and training, education"
"4.2.2 b) ","Does","the orientation","","","for new personnel"
"4.2.3","reviewed","Management","Security breaches or policy violations, policy violations","","personnel"
"4.2.3 a) ","ensuring","receipt of information, personnel, managers","","","for a security breach or policy violation, of the potential security breach or policy violation"
"4.2.3 a) ","assisting, verifying","receipt of information, personnel, managers","the details of the security breach or policy violation","","for a security breach or policy violation, in an investigation"
"4.2.3 a) ","warranted, determining","receipt of information, personnel, managers","disciplinary action for employees","with the BC Public Service Agency","for a security breach or policy violation, in consultation"
"4.2.3 a) ","determining","receipt of information, personnel, managers","","","for a security breach or policy violation, for non-employees"
"4.2.3 a) ","arranging","receipt of information, personnel, managers","permanent or temporary removal of access privileges","","for a security breach or policy violation"
"4.3.1","documented","","Responsibilities","","for employment termination"
"4.3.1 a) ","advise","personnel of ongoing confidentiality responsibilities, Managers","personnel of ongoing confidentiality responsibilities","","after termination of employment"
"4.3.1 a) ","provide","BC Public Service Agency, information, awareness and and training programs","awareness and and training programs","","on personnel confidentiality requirements, after termination of employment"
"4.3.2","return","Personnel","government assets","","upon termination or change of employment"
"4.3.2 a) ","document","Managers","the return of government assets","","in the possession of personnel, upon termination of employment"
"4.3.2 a) ","ensure","These processes","","","of returned items, against established asset inventories"
"4.3.2 a) ","ensure","These processes","compensation, the recovery or compensation","","for assets, based established criteria, regarding depreciation and replacement value, for classes of items"
"4.3.2 a) ","ensure","that, These processes","the identification of unreturned access devices and and keys","","cards, of assets"
"4.3.2 a) ","available","The following forms","","","of employment processes, of assets, to personnel employee Separation Report form"
"4.3.2 a) ","available","The following forms","","","of employment processes, of assets, to personnel staff"
"4.3.3","removed, reviewed","","The access rights of personnel to information systems","","upon termination of employment, upon change of employment"
"4.3.3 a) ","change","Managers, personnel","employment","","to information systems information processing facilities"
"4.3.3 a) ","change","Managers, personnel","employment","","to information systems information processing facilities, of positional or organizational roles and responsibilities"
"4.3.3 a) ","change","Managers, personnel","employment","","to information systems information processing facilities"
"4.3.3 a) ","employment","Managers","","","to information systems information processing facilities, including updating directories and and systems, documentation"
"4.3.3 b) ","ensure, removed, reviewed","Managers","access, information processing facilities","","to information systems, upon termination of employment, upon change of employment"
"4.3.3 b) ","ensure, removed, reviewed","Managers","access, information processing facilities","","to information systems, upon termination of employment, upon change of employment"
"4.3.3 b) ","ensure","Managers","access to information systems and and removed or reviewed, removed or reviewed","","upon termination of employment, upon change of employment"
"4.3.3 c) ","ensure, removed, reduced","Managers, the employee/contactor","access, information processing facilities","","to information systems, before the employment terminates or changes, of risk factors, management"
"4.3.3 c) ","ensure, removed, reduced","Managers","access, information processing facilities","","to information systems, before the employment terminates or changes, of risk factors, such the reason, for termination"
"4.3.3 c) ","ensure, removed, reduced","Managers","access, information processing facilities","","to information systems, before the employment terminates or changes, of risk factors, such the current responsibilities of the employee/contractor"
"4.3.3 c) ","ensure","Managers","access to information systems and and reduced or removed, reduced or removed","","before the employment terminates or changes, of risk factors, such the value of the assets accessible"
"4.3.3 c) ","available","The following forms","","","of employment processes, for managing access rights of personnel employee Separation Report form"
"4.3.3 c) ","available","The following forms","","","of employment processes, of personnel staff"
"4","identifies","This chapter","requirements","","for the protection, from environmental and man-made threats, to personnel and property, in information processing facilities"
"4","use","One of the principles","","","for protection, of security zones, in secure areas"
"4","described","","Safety measures","","for equipment installations"
"4","identified","Requirements","Requirements","","for the installation and and and protection maintenance of computer equipment, operation, of government information and information systems"
"5.1.1","protected","a physical security perimeter","Government information processing facilities","",""
"5.1.2","protected","appropriate entry controls, Secure areas","Secure areas","",""
"5.1.3","applied, documented, designed","","Physical security requirements, Physical security requirements for all areas","","in and around an information processing facility"
"5.1.4","designed","Physical security controls","Physical security controls","","against damage, from natural or man-made disaster"
"5.1.5","used","personnel","procedures, Additional security controls and procedures","","in secure areas"
"5.1.6","controlled, possible","Access to delivery and loading areas","Access to delivery and loading areas","","from information processing facilities"
"5.2.1","protected","Equipment","Equipment","","from unauthorized access and environmental and threats hazards, environmental threats"
"5.2.2","protected","","Equipment","from power supply interruption and other disruptions, other disruptions","failures, in supporting utilities"
"5.2.3","protected","","Power and telecommunications cabling, telecommunications cabling","from interception and damage, damage",""
"5.2.5","off-site","","","from government premises",""
"5.2.6","erased","","All data and software, software","from equipment",""
"5.2.7","removed","","Equipment or or software, software, information","from government premises","to the Province, without prior authorization"
"5.1.1","protected","a physical security perimeter","Government information processing facilities","",""
"5.1.1 a) ","establish","Information Owners and Information Custodians","number, the appropriate type and number of restricted zones","","for personnel safety"
"5.1.1 a) ","supported","a Security Threat and Risk Assessment","Establishment of restricted zones","",""
"5.1.1 a) ","Zone","All information processing facilities","","",""
"5.1.1 a) ",".","","","",""
"5.1.1 a) ","applied","Appropriate security controls, all information, with physical intrusion alarm systems","Appropriate security controls","","of identified risks"
"5.1.1 a) ","applied","Appropriate security controls, These doors","Appropriate security controls","","of identified risks, with doors, beyond a certain period of time"
"5.1.1 a) ","applied","all fire doors, Appropriate security controls","Appropriate security controls","","of identified risks, with crash bars, in the event of an emergency"
"5.1.1 a) ","set","the doors","an audible alarm","",""
"5.1.1 a) ","â","","$","",""
"5.1.1 a) ","e.","","","",""
